age,gender,income,person_id,year_of_member,month_of_member,day_of_member
55.0,F,112000.0,398,2017,7,15
75.0,F,100000.0,7996,2017,5,9
68.0,M,70000.0,15043,2018,4,26
65.0,M,53000.0,3728,2018,2,9
58.0,M,51000.0,3059,2017,11,11
61.0,F,57000.0,11410,2017,9,11
26.0,M,46000.0,14984,2014,2,13
62.0,F,71000.0,3274,2016,2,11
49.0,M,52000.0,6546,2014,11,13
57.0,M,42000.0,6656,2017,12,31
61.0,F,40000.0,11022,2018,5,1
40.0,F,71000.0,4541,2016,5,4
64.0,M,100000.0,4996,2017,9,9
78.0,F,71000.0,12984,2017,6,16
42.0,M,69000.0,16458,2013,8,11
56.0,F,88000.0,13880,2018,4,28
33.0,F,52000.0,13236,2017,9,26
46.0,F,59000.0,7701,2017,9,11
59.0,M,41000.0,15694,2015,1,21
67.0,M,96000.0,5914,2014,8,23
53.0,O,52000.0,13994,2017,9,16
22.0,M,70000.0,1961,2017,9,25
96.0,F,89000.0,8940,2017,11,17
40.0,M,33000.0,15980,2016,7,9
69.0,F,57000.0,1051,2016,8,14
56.0,M,68000.0,9457,2014,5,11
26.0,F,63000.0,10668,2017,8,12
75.0,M,40000.0,7307,2015,11,12
20.0,F,30000.0,169,2016,7,11
45.0,M,33000.0,12890,2018,7,7
61.0,M,98000.0,9281,2017,11,21
69.0,F,37000.0,9503,2013,9,18
54.0,F,80000.0,5845,2017,2,7
39.0,M,51000.0,12743,2014,5,27
41.0,F,41000.0,4225,2015,9,21
79.0,F,48000.0,10978,2015,4,15
66.0,F,38000.0,7788,2018,4,8
56.0,F,52000.0,15540,2017,6,26
39.0,F,56000.0,16110,2014,7,23
42.0,M,96000.0,10701,2016,1,17
78.0,F,93000.0,16904,2016,10,9
45.0,M,48000.0,1566,2017,10,6
29.0,M,50000.0,9220,2016,4,30
44.0,M,35000.0,12288,2017,9,24
63.0,M,56000.0,13492,2018,7,13
36.0,M,56000.0,5627,2017,12,28
76.0,F,47000.0,11492,2018,3,14
68.0,M,87000.0,14118,2017,8,23
75.0,M,52000.0,11122,2015,11,29
67.0,M,76000.0,3024,2017,2,26
77.0,M,51000.0,14413,2016,7,30
76.0,M,64000.0,3824,2014,8,31
57.0,M,98000.0,12189,2018,2,7
53.0,F,72000.0,9371,2016,7,6
53.0,F,117000.0,3834,2016,12,31
53.0,F,55000.0,8531,2017,10,26
61.0,F,112000.0,16713,2017,11,10
67.0,F,77000.0,6168,2016,9,10
58.0,F,85000.0,10275,2018,1,25
46.0,F,36000.0,15244,2018,6,29
30.0,M,41000.0,16670,2017,12,2
59.0,M,89000.0,748,2017,8,20
51.0,M,41000.0,16230,2015,12,31
27.0,M,35000.0,7308,2018,1,10
40.0,M,53000.0,2450,2018,2,27
73.0,F,91000.0,10913,2018,4,19
74.0,F,107000.0,2852,2015,12,24
42.0,M,66000.0,10541,2015,11,21
78.0,M,58000.0,5802,2015,11,11
54.0,F,53000.0,8590,2016,12,25
70.0,F,74000.0,1282,2018,6,13
49.0,F,57000.0,6966,2017,4,8
62.0,F,57000.0,16981,2018,4,10
64.0,M,70000.0,13567,2017,3,5
89.0,F,87000.0,4419,2017,11,14
73.0,M,51000.0,766,2018,4,1
50.0,F,93000.0,12161,2017,5,6
90.0,F,98000.0,1823,2015,12,10
68.0,F,84000.0,4215,2016,7,31
60.0,M,64000.0,1286,2017,2,6
45.0,M,54000.0,11911,2017,8,15
66.0,M,49000.0,2148,2016,1,24
19.0,F,73000.0,1723,2016,10,15
66.0,F,58000.0,9802,2018,2,16
72.0,F,72000.0,16503,2016,8,11
76.0,M,63000.0,11360,2016,4,7
52.0,M,78000.0,9946,2017,5,15
55.0,M,31000.0,9197,2017,12,10
39.0,F,60000.0,7248,2017,9,19
45.0,F,44000.0,5518,2016,1,26
57.0,F,114000.0,9873,2017,7,4
74.0,M,48000.0,15317,2018,7,12
18.0,M,47000.0,7525,2016,7,27
53.0,M,96000.0,1238,2017,9,27
59.0,F,98000.0,1410,2017,9,10
57.0,M,46000.0,710,2014,11,4
51.0,F,56000.0,1686,2017,8,13
64.0,F,37000.0,2900,2017,10,20
71.0,M,57000.0,6857,2017,1,29
64.0,F,66000.0,16159,2017,4,21
83.0,M,46000.0,5066,2018,1,27
26.0,M,71000.0,15542,2017,12,11
29.0,F,58000.0,1522,2018,3,21
43.0,M,70000.0,12801,2017,9,15
89.0,F,65000.0,4113,2018,1,14
49.0,F,79000.0,5593,2018,5,18
79.0,M,67000.0,8620,2016,6,27
55.0,F,94000.0,11984,2017,10,16
55.0,M,66000.0,3656,2017,12,3
45.0,M,31000.0,7936,2017,10,7
52.0,M,30000.0,11577,2018,1,30
39.0,M,55000.0,9380,2016,4,4
77.0,M,69000.0,9107,2018,7,2
